id,name,is_back,is_chest,is_shoulders,is_biceps,is_triceps,is_legs,is_core,is_balance,is_cardio,is_weight_per_hand
91,NGPULLUPS,True,False,True,True,False,False,True,False,False,False
92,DEADLIFT,True,False,True,False,False,True,True,True,False,False
93,KBDEADLIFT,True,False,True,False,False,True,True,True,False,False
94,SLEDPUSHPULL,True,False,True,False,True,True,True,False,True,False
95,NGECCENTRICPULLUPS,True,False,True,True,False,False,True,False,False,False
96,GOBLETSQUAT,True,False,True,False,False,True,True,True,False,False
97,FROGSTUFF,False,False,False,False,False,False,True,True,False,False
98,STAGGEREDSTANCESALANDMINEPRESS,True,True,True,False,True,False,False,False,False,False
99,BARINCLINECHESTPRESS,False,True,True,False,True,False,False,False,False,False
100,GOBLETKBWALKINGLUNGES,True,False,True,False,False,True,False,True,False,True
101,FRONTSQUAT,True,False,True,False,False,True,True,True,False,False
102,FARMERSCARRY,True,False,True,False,False,True,True,False,False,True
103, DUMBBELL SPLIT SQUAT,False,False,False,False,False,True,False,False,False,False
104,HANGINGLEGLOWERS,False,False,False,False,False,False,True,False,False,False
105,HANGINGLEGRAISES,False,False,False,False,False,False,True,False,False,False
106,SLUNILATERALSQUATS,True,False,False,False,False,True,True,True,False,True
107,TURKISHGETUP,True,False,True,False,False,True,True,True,False,False
108,SLSQUAT,False,False,False,False,False,True,True,True,False,False
109,CGBANDEDPULLUPS,True,False,True,True,False,False,True,False,False,False
110,CGTHINBANDEDPULLUPS,True,False,True,True,False,False,True,False,False,False
